;sex;age;address;famsize;Pstatus;Medu;Fedu;nursery;internet;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;higher;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
1;1;15;1;1;0;1;1;1;1;1;2;4;1;1;1;1;1;1;0;3;1;2;1;1;1;2;7;10;10
2;1;15;1;1;0;1;1;0;1;1;1;2;2;1;1;0;0;1;1;3;3;4;2;4;5;2;8;6;5
3;1;15;1;1;0;2;2;1;0;1;1;1;0;1;1;1;1;1;0;4;3;1;1;1;2;8;14;13;13
4;1;15;1;1;0;2;4;1;1;1;1;3;0;1;1;1;1;1;0;4;3;2;1;1;5;2;10;9;8
5;1;15;1;1;0;3;3;1;1;0;2;3;2;0;1;1;1;1;1;4;2;1;2;3;3;8;10;10;10
6;1;15;1;1;0;3;4;1;1;1;1;3;0;1;1;1;1;1;0;4;3;2;1;1;5;2;12;12;11
7;1;15;1;1;0;3;4;1;1;0;2;3;2;0;1;0;0;1;1;4;2;2;2;2;5;0;12;0;0
8;1;15;1;0;0;2;2;1;1;1;2;2;0;1;1;1;0;1;0;4;1;3;1;3;4;2;8;9;8
9;1;15;1;0;0;3;1;0;1;0;2;4;0;0;1;0;0;1;0;4;4;2;2;3;3;12;16;16;16
10;1;15;0;1;1;3;3;1;0;0;1;4;0;1;0;0;0;1;0;4;3;3;1;1;4;10;10;11;11
11;1;15;0;1;1;4;3;1;1;1;1;2;0;0;1;1;1;1;0;4;3;2;1;1;1;0;14;15;15
12;1;15;0;1;0;1;1;0;1;1;3;1;0;0;1;0;1;1;1;4;3;3;1;2;4;0;8;0;0
13;1;15;0;1;0;1;1;0;1;0;1;2;0;0;1;0;1;1;0;4;3;2;2;3;4;2;9;10;10
14;1;15;0;1;0;1;1;1;1;0;1;2;0;0;1;1;0;1;0;4;4;2;1;2;5;0;8;11;11
15;1;15;0;1;0;1;2;0;1;1;1;2;0;0;1;1;0;1;0;4;3;2;1;1;5;2;10;11;11
16;1;15;0;1;0;1;2;0;1;1;1;2;0;0;0;0;0;1;0;3;2;3;1;2;1;2;16;15;15
17;1;15;0;1;0;2;1;1;1;0;3;3;0;0;1;0;1;1;0;5;2;2;1;1;4;4;10;12;12
18;1;15;0;1;0;2;2;1;1;1;1;4;0;1;1;1;0;1;0;5;1;2;1;1;3;8;7;8;8
19;1;15;0;1;0;2;3;1;0;0;2;1;0;0;1;0;1;1;0;3;5;1;1;1;5;0;8;7;6
20;1;15;0;1;0;3;2;1;1;0;1;2;3;0;1;0;0;1;0;3;3;2;1;1;3;0;6;7;0
21;1;15;0;1;0;3;2;1;1;1;2;2;0;1;1;1;0;1;0;4;3;5;1;1;2;26;7;6;6
22;1;15;0;1;0;4;2;1;1;1;1;3;0;0;1;1;1;1;1;3;2;2;1;1;5;2;15;14;15
23;1;15;0;1;0;4;2;1;1;1;1;3;0;0;1;0;1;1;0;5;3;3;1;3;1;4;13;14;14
24;1;15;0;1;0;4;3;1;1;1;1;1;0;0;0;1;1;1;0;4;5;5;1;3;1;4;16;17;18
25;1;15;0;1;0;4;4;1;1;1;1;3;0;0;1;0;1;1;1;4;3;3;1;1;5;0;11;0;0
26;1;15;0;1;0;4;4;1;1;1;1;1;0;1;1;1;0;1;0;3;3;4;2;3;5;0;8;10;11
27;1;15;0;1;0;4;4;1;1;0;2;2;2;0;0;1;0;1;1;4;4;4;2;3;5;6;7;9;8
28;1;15;0;1;0;4;4;0;1;0;1;2;1;1;1;0;1;1;0;4;4;4;1;1;3;2;7;7;7
29;1;15;0;1;0;4;4;1;1;1;1;2;0;0;1;1;0;1;0;3;3;3;1;2;2;0;10;8;9
30;1;15;0;1;0;4;4;1;1;1;1;3;0;0;1;1;1;1;0;4;2;2;1;1;5;2;9;11;11
31;1;15;0;1;0;4;4;1;1;1;2;1;0;0;0;0;1;1;0;4;3;2;1;1;5;0;16;16;15
32;1;15;0;0;1;3;3;1;1;1;1;1;0;0;0;1;0;1;0;5;3;4;4;4;1;6;10;13;13
33;1;15;0;0;1;3;4;1;1;1;1;2;0;1;0;0;1;1;1;5;3;2;1;1;1;0;7;10;11
34;1;15;0;0;1;4;3;1;1;1;1;2;0;1;1;1;1;1;1;5;2;2;1;1;5;8;8;8;6
35;1;15;0;0;0;1;1;1;1;1;1;2;3;1;0;1;0;1;0;4;3;2;2;3;3;10;7;8;10
36;1;15;0;0;0;3;2;1;1;1;1;2;0;0;1;1;0;1;0;4;4;4;1;1;5;10;7;6;6
37;1;15;0;0;0;4;2;1;1;1;1;2;0;0;1;1;0;1;0;4;3;3;1;1;5;2;11;13;13
38;1;15;0;0;0;4;3;1;1;0;1;2;0;1;0;0;1;1;1;4;4;4;2;4;2;0;10;10;10
39;1;16;1;1;0;2;2;0;1;1;2;4;0;0;1;1;1;1;0;5;3;5;1;1;5;6;10;10;11
40;1;16;1;1;0;3;3;1;1;0;1;3;1;1;1;0;1;1;0;4;1;2;1;1;2;0;7;10;10
41;1;16;1;1;0;4;4;1;0;1;1;2;0;0;1;0;1;1;0;2;4;4;2;3;4;6;10;11;11
42;1;16;0;1;1;2;1;1;1;1;1;2;0;0;0;1;1;1;1;5;3;4;1;1;2;8;8;9;10
43;1;16;0;1;1;2;2;1;1;1;1;2;0;1;1;1;0;1;0;3;3;4;1;1;4;0;12;13;14
44;1;16;0;1;1;3;1;1;1;1;1;2;3;0;1;1;0;1;0;2;3;3;2;2;4;5;7;7;7
45;1;16;0;1;1;3;3;0;1;0;2;1;2;0;1;0;1;1;1;4;3;2;1;1;5;0;4;0;0
46;1;16;0;1;1;3;4;1;1;0;1;1;0;0;0;0;0;1;0;3;2;1;1;4;5;16;12;11;11
47;1;16;0;1;0;1;1;1;0;1;2;1;0;0;1;1;0;1;0;4;3;2;1;4;5;6;9;9;10
48;1;16;0;1;0;1;1;0;1;0;4;1;0;1;1;0;1;1;1;5;5;5;5;5;5;6;10;8;11
49;1;16;0;1;0;1;3;0;1;1;1;2;3;0;0;0;1;1;1;4;3;5;1;1;3;0;8;7;0
50;1;16;0;1;0;2;1;1;0;1;1;2;0;0;1;1;0;1;1;4;3;5;1;1;5;2;8;9;10
51;1;16;0;1;0;2;1;1;1;1;1;1;0;0;0;0;0;1;1;4;5;2;1;1;5;20;13;12;12
52;1;16;0;1;0;2;2;1;1;1;1;2;1;1;0;0;1;1;0;3;1;2;1;1;5;6;10;13;13
53;1;16;0;1;0;2;2;0;1;1;1;2;0;0;1;1;0;1;0;5;1;5;1;1;4;0;6;7;0
54;1;16;0;1;0;2;2;1;1;1;1;2;0;0;0;1;0;1;1;5;4;4;1;1;5;0;8;7;8
55;1;16;0;1;0;2;2;1;1;1;1;4;0;0;0;1;0;1;1;5;2;3;1;3;3;0;11;11;11
56;1;16;0;1;0;2;2;0;1;1;2;2;0;0;0;1;1;1;0;3;4;4;1;4;5;2;13;13;11
57;1;16;0;1;0;2;2;0;1;1;1;1;2;0;1;1;0;1;0;1;2;2;1;3;5;14;6;9;8
58;1;16;0;1;0;2;3;1;0;1;1;2;0;1;1;1;1;1;0;4;4;3;1;3;4;6;8;10;10
59;1;16;0;1;0;2;3;1;1;1;1;2;0;0;0;0;0;1;0;4;3;3;1;1;2;10;11;12;13
60;1;16;0;1;0;2;3;1;1;1;1;2;0;1;0;0;0;1;0;2;3;1;1;1;3;2;16;16;17
61;1;16;0;1;0;3;1;1;1;1;1;4;0;1;1;1;0;1;0;4;3;3;1;2;5;4;7;7;6
62;1;16;0;1;0;3;2;1;1;1;1;2;0;0;1;1;0;1;0;1;2;2;1;2;1;14;12;13;12
63;1;16;0;1;0;3;3;1;0;0;1;2;0;0;1;1;0;1;0;4;3;2;1;2;5;4;6;10;10
64;1;16;0;1;0;3;3;1;1;1;1;3;0;0;1;1;0;1;1;4;3;3;1;3;4;0;7;7;8
65;1;16;0;1;0;3;3;1;0;1;3;2;0;1;1;0;1;1;0;5;3;2;1;1;4;4;8;10;10
66;1;16;0;1;0;3;3;1;1;1;1;2;0;1;1;1;1;1;0;4;3;3;2;4;5;54;11;12;11
67;1;16;0;1;0;3;4;1;1;1;1;2;0;0;1;0;0;1;0;2;4;3;1;2;3;12;5;5;5
68;1;16;0;1;0;4;2;1;1;0;1;2;0;0;0;1;0;1;1;4;2;3;1;1;3;0;14;15;16
69;1;16;0;1;0;4;2;1;1;1;1;2;0;0;1;0;0;1;0;4;2;3;1;1;5;2;15;16;16
70;1;16;0;1;0;4;2;1;1;1;2;2;0;0;1;1;1;1;0;5;3;3;1;1;1;0;11;10;10
71;1;16;0;1;0;4;3;1;1;1;1;2;0;0;1;0;1;1;0;4;3;5;1;5;2;2;16;16;16
72;1;16;0;1;0;4;3;1;1;1;1;3;0;1;1;1;0;1;0;5;3;5;1;1;3;0;7;9;8
73;1;16;0;1;0;4;3;1;1;1;1;3;0;1;1;1;1;1;0;3;4;4;2;4;4;2;10;9;9
74;1;16;0;1;0;4;3;1;1;1;1;2;0;0;0;1;1;1;1;1;3;2;1;1;1;10;11;12;13
75;1;16;0;1;0;4;4;1;1;1;1;2;0;0;1;1;0;1;1;4;4;2;1;1;3;0;14;14;14
76;1;16;0;1;0;4;4;1;1;1;1;1;0;0;1;0;0;1;0;4;4;4;1;2;2;4;14;14;14
77;1;16;0;1;0;4;4;0;1;1;1;1;0;0;0;0;1;1;0;5;3;4;1;2;1;6;11;14;14
78;1;16;0;1;0;4;4;1;1;1;1;3;0;0;1;1;1;1;0;3;2;3;1;2;2;6;13;14;14
79;1;16;0;1;0;4;4;0;1;1;1;3;0;0;1;0;1;1;0;5;3;2;1;1;5;0;13;13;14
80;1;16;0;0;1;3;3;1;1;1;1;2;0;0;1;0;0;1;0;2;3;5;1;4;3;12;11;12;11
81;1;16;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;0;3;4;4;3;3;1;2;14;14;13
82;1;16;0;0;0;1;2;1;1;0;1;2;0;1;0;0;1;1;0;4;4;3;1;1;1;4;8;10;9
